code,area,year,1_year_survival_rate,2_year_survival_rate,3_year_survival_rate,4_year_survival_rate,5_year_survival_rate,birth_rate,death_rate
E09000006,Bromley,2004,95.0,79.6,63.8,53.8,46.9,13.6,11.8
E09000007,Camden,2004,94.7,77.6,63.7,53.9,47.5,12.4,12.1
E09000008,Croydon,2004,93.6,76.1,61.3,50.3,42.9,14.5,14.1
E09000009,Ealing,2004,94.1,73.8,57.2,46.3,38.8,16.5,13.9
E09000010,Enfield,2004,94.6,77.1,61.1,50.0,42.9,15.0,12.9
E09000011,Greenwich,2004,94.9,76.9,60.5,48.2,40.0,17.4,13.3
E09000012,Hackney,2004,94.1,76.1,60.6,51.2,44.3,15.6,13.8
E09000013,Hammersmith and Fulham,2004,93.3,70.5,52.8,42.4,35.4,17.4,14.3
E09000014,Haringey,2004,93.7,73.2,58.0,49.1,40.9,15.9,15.1
E09000015,Harrow,2004,94.9,76.3,61.7,51.5,43.4,13.7,13.8
E09000016,Havering,2004,94.8,79.6,62.6,52.6,43.6,13.9,12.2
E09000017,Hillingdon,2004,94.7,78.2,63.4,53.5,45.7,13.2,12.3
E09000018,Hounslow,2004,93.5,76.0,59.5,48.9,40.5,15.2,13.1
E09000019,Islington,2004,93.9,75.1,59.9,49.2,41.7,14.8,13.3
E09000020,Kensington and Chelsea,2004,94.0,75.6,62.0,51.8,45.2,14.2,12.4
E09000021,Kingston upon Thames,2004,94.9,77.3,63.1,51.7,43.2,13.2,13.2
E09000022,Lambeth,2004,94.3,74.9,58.4,47.0,39.2,19.4,14.2
E09000023,Lewisham,2004,94.3,77.5,58.1,48.0,41.0,18.2,13.6
E09000024,Merton,2004,94.2,74.7,56.8,45.6,39.0,15.5,14.6
E09000025,Newham,2004,93.8,71.0,54.4,43.5,37.3,18.7,15.9
E09000026,Redbridge,2004,94.0,73.7,57.9,47.0,39.1,16.4,15.3
E09000027,Richmond upon Thames,2004,95.6,80.7,68.8,58.3,49.5,13.6,11.2
E09000028,Southwark,2004,93.6,75.8,59.6,48.8,40.1,18.1,12.7
E09000029,Sutton,2004,94.2,78.9,64.3,53.2,44.4,13.2,12.0
E09000030,Tower Hamlets,2004,94.9,76.8,60.6,50.1,41.5,19.3,14.6
E09000031,Waltham Forest,2004,92.9,73.5,56.2,46.0,37.2,16.6,15.7
E09000032,Wandsworth,2004,93.3,72.1,55.3,43.9,36.5,19.8,14.0
E09000033,Westminster,2004,93.2,75.4,61.5,51.0,43.2,13.5,13.0
E13000001,Inner London,2004,93.7,75.1,59.8,49.4,42.0,15.3,13.2
E13000002,Outer London,2004,94.2,75.9,60.2,49.6,41.9,14.5,13.6
E12000001,North East,2004,93.5,76.9,64.4,53.4,45.6,13.4,11.3
E12000002,North West,2004,94.1,79.1,66.2,55.3,46.8,13.5,11.6
E12000003,Yorkshire And The Humber,2004,94.3,78.4,64.9,54.0,45.8,13.0,10.8
E12000004,East Midlands,2004,94.5,79.8,66.8,56.5,48.6,12.8,11.0
E12000005,West Midlands,2004,94.1,78.9,65.8,54.9,47.0,12.8,11.1
E12000006,East,2004,94.3,79.7,67.0,56.1,48.4,12.5,10.7
